ReadID	RefStart	RefEnd	CleanLen	ErrorLen	Insertions	Deletions	Substitutions
read_699	1976	2801	825	821	11	15	11
read_700	6554	6921	367	371	10	6	3
read_701	5970	6473	503	500	6	9	3
read_702	4380	5313	933	944	23	12	9
read_703	2286	2940	654	658	13	9	9
read_704	4542	5090	548	554	11	5	9
read_705	9375	9729	354	360	10	4	4
read_706	4799	5550	751	761	18	8	8
read_707	335	894	559	564	13	8	4
read_708	725	1580	855	860	17	12	10
read_709	6066	6580	514	518	11	7	6
read_710	6568	6977	409	408	8	9	5
read_711	4532	5462	930	937	22	15	14
read_712	6749	7149	400	401	7	6	2
read_713	7130	8061	931	929	15	17	13
read_714	7809	8524	715	714	9	10	9
read_715	1722	2089	367	370	8	5	3
read_716	52	743	691	696	12	7	10
read_717	7671	8160	489	499	14	4	6
read_718	8884	9245	361	361	7	7	3
read_719	6865	7170	305	307	4	2	3
read_720	2379	2990	611	617	18	12	8
read_721	2360	2972	612	615	11	8	7
read_722	6121	6971	850	865	21	6	17
read_723	4176	4925	749	753	13	9	13
read_724	8395	9125	730	742	19	7	4
read_725	731	1413	682	685	13	10	3
read_726	7645	8437	792	807	22	7	8
read_727	6235	7199	964	969	13	8	12
read_728	6817	7796	979	980	17	16	10
read_729	6490	7145	655	666	14	3	10
read_730	1427	1978	551	564	17	4	4
read_731	6700	7358	658	672	20	6	5
read_732	935	1729	794	796	15	13	8
read_733	2299	3083	784	786	9	7	9
read_734	356	1033	677	686	17	8	7
read_735	5810	6232	422	426	9	5	3
read_736	5378	6329	951	964	25	12	7
read_737	6101	6931	830	843	24	11	7
read_738	2218	3112	894	906	22	10	9
read_739	3487	4213	726	728	12	10	10
read_740	4409	4955	546	550	9	5	4
read_741	6567	7101	534	540	14	8	5
read_742	3229	3861	632	621	5	16	6
read_743	7306	7840	534	535	9	8	5
read_744	3938	4488	550	563	21	8	5
read_745	7874	8397	523	535	18	6	3
read_746	4645	5035	390	397	10	3	5
read_747	8102	8996	894	899	22	17	14
read_748	1574	2462	888	879	10	19	9
read_749	5290	6201	911	907	9	13	12
read_750	7165	7909	744	747	16	13	8
read_751	8141	9091	950	963	20	7	9
read_752	3487	4230	743	751	18	10	7
read_753	1004	1415	411	410	8	9	5
read_754	3341	4256	915	914	15	16	12
read_755	503	1055	552	558	13	7	4
read_756	785	1409	624	627	14	11	6
read_757	9025	9601	576	580	11	7	10
read_758	3955	4914	959	965	18	12	11
read_759	6532	7362	830	833	13	10	7
read_760	4613	5367	754	759	13	8	10
read_761	5988	6568	580	576	6	10	6
read_762	8845	9574	729	728	8	9	12
read_763	8683	9555	872	874	20	18	6
read_764	2530	3208	678	674	10	14	9
read_765	5789	6692	903	907	19	15	8
read_766	7961	8418	457	456	7	8	4
read_767	8068	8488	420	424	8	4	4
read_768	5933	6715	782	784	16	14	11
read_769	4871	5201	330	334	8	4	1
read_770	7826	8789	963	975	20	8	11
read_771	4375	5364	989	993	14	10	14
read_772	3421	3964	543	552	12	3	9
read_773	999	1313	314	312	4	6	5
read_774	4248	4627	379	378	3	4	6
read_775	7369	8018	649	649	8	8	7
read_776	993	1560	567	568	9	8	6
read_777	1077	1558	481	484	9	6	5
read_778	3368	3790	422	427	12	7	5
read_779	102	836	734	740	15	9	12
read_780	384	798	414	414	4	4	7
read_781	4655	5539	884	893	19	10	13
read_782	9321	9711	390	388	4	6	4
read_783	7058	7437	379	383	10	6	5
read_784	3178	3780	602	612	15	5	10
read_785	5382	6143	761	762	10	9	12
read_786	6298	7000	702	705	14	11	6
read_787	6285	6790	505	504	7	8	3
read_788	4737	5633	896	898	15	13	12
read_789	5533	6533	1000	1010	20	10	15
read_790	3423	4148	725	723	8	10	11
read_791	1238	1644	406	407	9	8	4
read_792	5348	6272	924	920	17	21	10
read_793	39	521	482	489	12	5	7
read_794	7479	8452	973	985	22	10	10
read_795	8382	8956	574	570	7	11	5
read_796	3993	4952	959	971	27	15	13
read_797	492	1371	879	890	17	6	9
read_798	2541	3144	603	601	6	8	8
read_799	6211	6817	606	602	7	11	10
read_800	4928	5489	561	574	18	5	3
read_801	4562	5384	822	826	17	13	12
read_802	6786	7615	829	833	18	14	12
read_803	414	1367	953	955	17	15	10
read_804	239	898	659	663	11	7	14
read_805	3678	4484	806	815	18	9	6
read_806	7983	8651	668	682	21	7	9
read_807	6195	6568	373	369	3	7	4
read_808	3601	4597	996	1002	20	14	9
read_809	7210	7695	485	480	5	10	6
read_810	1612	2595	983	986	16	13	14
read_811	3134	3954	820	819	16	17	8
read_812	5217	6052	835	840	16	11	10
read_813	2187	2864	677	689	20	8	12
read_814	2443	2991	548	552	12	8	3
read_815	8908	9468	560	564	12	8	14
read_816	4492	4844	352	356	8	4	2
read_817	6858	7428	570	569	6	7	7
read_818	7808	8354	546	555	14	5	6
read_819	1795	2305	510	512	9	7	7
read_820	5431	6113	682	687	20	15	10
read_821	1588	2005	417	420	7	4	5
read_822	8528	9218	690	698	18	10	10
read_823	2684	3384	700	699	11	12	13
read_824	1340	2304	964	976	22	10	19
read_825	4854	5694	840	848	15	7	13
read_826	7427	8345	918	928	25	15	8
read_827	7370	8361	991	1001	21	11	15
read_828	8112	8496	384	384	7	7	4
read_829	5293	6186	893	898	15	10	9
read_830	9427	9788	361	359	5	7	3
read_831	7573	7934	361	366	7	2	6
read_832	5228	5672	444	446	6	4	5
read_833	7487	8047	560	560	10	10	12
read_834	9292	9974	682	678	10	14	8
read_835	836	1827	991	994	20	17	9
read_836	2511	2989	478	494	20	4	5
read_837	4159	5054	895	893	17	19	7
read_838	67	426	359	367	11	3	5
read_839	1107	1752	645	650	12	7	5
read_840	5486	6481	995	999	17	13	7
read_841	2339	3305	966	970	20	16	9
read_842	5722	6167	445	448	7	4	9
read_843	6272	6654	382	387	7	2	7
read_844	4187	4720	533	532	7	8	6
read_845	2337	2784	447	449	10	8	5
read_846	7737	8129	392	397	11	6	3
read_847	4749	5655	906	916	24	14	19
read_848	2059	2832	773	774	11	10	10
read_849	6231	7007	776	778	11	9	7
read_850	6915	7326	411	416	12	7	3
read_851	6710	7163	453	452	11	12	4
read_852	7777	8460	683	685	10	8	4
read_853	2306	3295	989	1005	26	10	9
read_854	1258	2112	854	852	11	13	11
read_855	210	970	760	757	8	11	10
read_856	267	895	628	628	11	11	11
read_857	256	639	383	383	6	6	6
read_858	4064	4501	437	442	8	3	5
read_859	151	984	833	831	15	17	8
read_860	4485	4982	497	502	10	5	3
read_861	7112	7685	573	583	19	9	8
read_862	7757	8629	872	875	20	17	11
read_863	4383	5233	850	854	16	12	11
read_864	5129	5636	507	513	14	8	10
read_865	6988	7806	818	826	16	8	13
read_866	5572	6098	526	524	4	6	10
read_867	5240	5595	355	357	4	2	4
read_868	6480	6919	439	446	12	5	8
read_869	2610	3076	466	467	10	9	6
read_870	8541	8933	392	391	8	9	10
read_871	8224	8978	754	763	16	7	8
read_872	4793	5614	821	825	10	6	7
read_873	7329	7719	390	387	3	6	5
read_874	5284	5707	423	433	15	5	7
read_875	7314	8076	762	771	20	11	7
read_876	4742	5169	427	424	4	7	7
read_877	7349	7941	592	592	9	9	8
read_878	7272	8165	893	903	18	8	9
read_879	8911	9360	449	446	5	8	2
read_880	8799	9106	307	307	8	8	2
read_881	5257	5572	315	326	15	4	2
read_882	3678	3989	311	310	3	4	1
read_883	8232	9205	973	986	20	7	16
read_884	79	939	860	871	23	12	14
read_885	2231	2989	758	760	14	12	9
read_886	8192	8706	514	519	8	3	9
read_887	2818	3750	932	927	12	17	8
read_888	7448	8416	968	975	18	11	11
read_889	1670	1988	318	323	9	4	3
read_890	3502	3822	320	321	5	4	2
read_891	2830	3671	841	840	11	12	8
read_892	3111	3918	807	815	17	9	9
read_893	6059	6913	854	865	21	10	17
read_894	3758	4751	993	990	14	17	12
read_895	4684	5677	993	997	20	16	10
read_896	8787	9407	620	610	4	14	1
read_897	9048	9376	328	330	6	4	1
read_898	4622	5602	980	986	19	13	14
read_899	4831	5791	960	968	20	12	8
read_900	522	1488	966	971	21	16	12
read_901	4966	5733	767	762	11	16	6
read_902	1235	2225	990	984	16	22	13
read_903	6628	7250	622	624	16	14	3
read_904	2006	2777	771	776	17	12	13
read_905	6033	6679	646	644	10	12	6
read_906	4320	5284	964	971	22	15	9
read_907	9270	9718	448	458	16	6	3
read_908	4827	5205	378	379	9	8	4
read_909	5388	6009	621	629	16	8	3
read_910	6107	7059	952	953	15	14	10
read_911	8459	9428	969	986	27	10	13
read_912	2464	3350	886	891	18	13	3
read_913	3485	4192	707	712	16	11	7
read_914	6858	7720	862	866	14	10	11
read_915	692	1345	653	655	12	10	5
read_916	367	1094	727	722	10	15	9
read_917	5766	6107	341	345	7	3	5
read_918	3067	3955	888	893	16	11	10
read_919	3647	4544	897	911	20	6	16
read_920	4185	5153	968	975	20	13	14
read_921	7547	8089	542	549	15	8	5
read_922	8979	9332	353	353	5	5	6
read_923	8924	9319	395	389	3	9	6
read_924	8968	9343	375	377	7	5	6
read_925	755	1746	991	993	13	11	12
read_926	2690	3120	430	427	3	6	8
read_927	7071	7874	803	808	13	8	9
read_928	3974	4703	729	726	10	13	10
read_929	5230	5745	515	513	9	11	7
read_930	4941	5530	589	583	8	14	10
read_931	2548	3355	807	802	6	11	11
read_932	9364	9994	630	634	11	7	12
read_933	3907	4314	407	408	8	7	5
read_934	8255	8967	712	707	4	9	9
read_935	3643	4153	510	519	13	4	5
read_936	2893	3598	705	705	12	12	7
read_937	619	1484	865	864	14	15	13
read_938	3965	4881	916	932	24	8	16
read_939	1883	2558	675	675	11	11	8
read_940	6535	6925	390	390	5	5	6
read_941	2673	3160	487	503	21	5	9
read_942	1791	2155	364	366	7	5	1
read_943	6157	6949	792	790	10	12	14
read_944	1932	2723	791	808	23	6	9
read_945	3481	4437	956	965	22	13	12
read_946	9033	9532	499	508	15	6	2
read_947	8208	8800	592	608	18	2	10
read_948	8696	9102	406	412	11	5	8
read_949	5647	6230	583	590	17	10	5
read_950	939	1938	999	992	7	14	13
read_951	8059	8926	867	882	29	14	11
read_952	8853	9621	768	770	15	13	7
read_953	6025	6859	834	837	10	7	10
read_954	4463	5007	544	551	12	5	9
read_955	3005	3462	457	467	12	2	5
read_956	1637	2089	452	446	2	8	6
read_957	849	1842	993	994	22	21	12
read_958	410	1349	939	950	22	11	12
read_959	192	788	596	599	12	9	6
read_960	9483	9874	391	387	2	6	7
read_961	1907	2691	784	788	12	8	9
read_962	4414	5122	708	704	13	17	9
read_963	7683	8678	995	989	13	19	11
read_964	2125	2454	329	335	7	1	5
read_965	3071	3454	383	381	6	8	2
read_966	6970	7587	617	620	10	7	5
read_967	7150	7509	359	358	4	5	7
read_968	2102	2529	427	430	9	6	4
read_969	7647	8576	929	931	14	12	11
read_970	3061	4008	947	954	19	12	11
read_971	4196	4989	793	799	19	13	18
read_972	7253	8117	864	868	9	5	10
read_973	4870	5227	357	365	14	6	5
read_974	8618	9051	433	437	10	6	2
read_975	6404	6850	446	445	5	6	4
read_976	1662	2296	634	641	19	12	9
read_977	1262	2032	770	770	15	15	8
read_978	5492	5802	310	314	7	3	3
read_979	5808	6131	323	323	4	4	6
read_980	9002	9855	853	856	15	12	8
read_981	2567	3383	816	819	19	16	8
read_982	3597	4013	416	418	6	4	6
read_983	3402	3806	404	406	6	4	3
read_984	7044	7939	895	889	11	17	8
read_985	5745	6578	833	836	15	12	10
read_986	2000	2485	485	485	10	10	8
read_987	4415	5319	904	919	25	10	6
read_988	2139	2763	624	626	12	10	10
read_989	3201	3630	429	431	5	3	8
read_990	8256	8777	521	521	13	13	6
read_991	4110	4510	400	402	6	4	6
read_992	7927	8850	923	923	14	14	11
read_993	4427	4865	438	445	12	5	1
read_994	511	1271	760	768	18	10	8
read_995	4319	5262	943	957	23	9	18
read_996	8488	9484	996	998	15	13	10
read_997	2597	3137	540	546	13	7	3
read_998	629	1489	860	865	20	15	3
read_999	6497	7350	853	861	18	10	7
read_1000	1836	2630	794	801	14	7	11
